

Kanji	Meanings	Primitive Alternatives	Primitives	Heisig Keyword (1-5)	Heisig Keyword (6+)	Primitive Keywords	Heisig Story	Heisig Comment	Radicals
婿	bridegroom, son-in-law		女疋月	bridegroom	bridegroom		What makes a man a <b>bridegroom</b> is obviously a <i>woman</i> and her dowry, here presented as a small <i>zoo</i> (animals were often used for this purpose in earlier societies) and a <i>month</i> away from it all (the "honey<i>moon</i>").		月女疋
# removed 楚
礎	cornerstone, foundation stone		石林疋	cornerstone	cornerstone		This character depicts a <b>cornerstone</b> as a <i>stone</i> set at the end of a wildlife preserve (the <i>“zoo</i> in the <i>grove</i>”). [18] 		口石疋木
# removed 卂
迅	swift, fast		乙十辶	swift	swift		Here we see a <i>crossing</i> in the form of a barbed <i>fishhook</i>, suggesting a <b>swifter</b> alternate not only to the roundabouts used in Europe but also to the "cloverleaf" design used on superhigh<i>way</i>s in the United States.		辶十
# removed 堇
僅	a wee bit		人廿口龶	trifle	trifle		<i>Person</i>... <i>Twenty</i>.. <i>Mouth</i>..  <i>Grow up</i>		⺅土⺾口
# removed 澡
藻	seaweed, duckweed		艹水品木	seaweed	seaweed				口氵木⺾品
# removed 它 and added missing primitives
舵	rudder, helm, wheel		舟宀匕	rudder	rudder				舟匕宀
# removed 鬯
鬱	gloom, depression, melancholy, luxuriant		缶木木冖乂丶凵匕彡	gloom	gloom		Learning this character will take a little doing. Before we start, it is a good idea to keep the key word distinct from <i>melancholy</i> (Frame 663), with which it combines to create the psychological condition of depression (a metaphor based on the hollow or sinking of the material <i>depression</i> we met in Frame 1421). The picture of <b>gloom</b> begins with a small <i>grove</i> of <i>tree</i>s, under which we see a <i>crown</i> made out of used <i>tin cans</i>. Next (the lower half of the kanji) we find a combination that appears only a few times in modern characters and only once in those treated in the volumes of <i>Remembering the Kanji</i>. It is composed of a <i>shovel</i> with a <i>sheaf</i> dotted with small <i>drops</i> on all sides. Think of it as a large scoop <i>shovel</i> attached to the front of a bulldozer, whose driver is singing: ♪ "Bulldozing in the <i>sheaves</i>, bulldozing in the <i>sheaves</i>..." ♪ The <i>drops</i> represent the chaff flying about as the <i>sheaves</i> are tossed about by the heavy machinery. There is <i>someone sitting on the ground</i> alongside, watching as the machinery makes its way around the neighboring farmland - and it's you, wearing your <i>tin-can crown</i>. You feel overwhelmed by the impending doom as the invasion of agro-business draws closer and closer to the <i>grove</i>, the only patch of woods that remains of what once was a vast forest. The whole scene represents a re-<i>shaping</i> of the natural environment that brings the heavy weight of <b>gloom</b> down upon you. A bit much, perhaps, but there are enough elements to allow for any number of other combinations.		缶木冖凵匕彡
# removed 嵒
癌	cancer, cancerous evil		疒品山	cancer	cancer				口山疒品
# removed 咢 and added missing primitives
顎	jaw, chin, gill		口口一丂頁	chin	chin		Two mouths . . . ceiling . . . snare . . . head.		貝目ハ口頁二勹
#  removed 扁 (in the kanji it's a cliff and not a 'drag')
篇	volume, chapter, book, editing, compilation		竹戸冊	livraison	livraison		bamboo . . . door . . . scrapbooks. [15] The French word captures better than any English word can the range of uses this character has in designating chapter, volume, part, or fascicle of a classical text.		｜一戸竹冂冊尸
# removed 聶 and added missing primitives
囁	whisper, murmur		口耳耳耳	whisper	whisper		mouth . . . three ears. [21]		口耳
# removed 咨 and added missing primitives
諮	consult with		言次口	consult with	consult with		To seek the <i>words</i> of a <i>second mouth</i> is to <b>consult with</b> someone about something.		欠言口冫

# removed 夋 (and it's non-Heisig primitive name 'None')
夋									儿ハ厶夂
唆	tempt, seduce, instigate, promote		口允夂	tempt	tempt		Mouth . . . license . . . walking legs.		口儿厶夂

# removed 'snout' primitive alternative
彑	pig's head radical variant (no. 58)								ヨ彑
# added 'wall' reference
互	mutually, reciprocally, together		[wall]	mutually	mutually		When you draw this character think of linking two <i>walls</i> together, one right side up and the other upside down.		ヨ一彑

# removed 'little man' primitive alternative
尓	you, that								ノ小
弥	all the more, increasingly		弓𠂉小	more and more	more and more		Bow . . . reclining . . . little.		ノ弓亅小
称	appellation, praise, admire, name, title, fame		禾𠂉小	appellation	appellation		Wheat . . . reclining . . . little.		ノ禾小一

# remove 丽 and it's primitive alternative names, switch to 凡凡
丽									
麗	lovely, beautiful, graceful, resplendent		一凡凡鹿	lovely	lovely		The painting of a <i>deer</i> itself with its form and color is enough to fill the bill for an image of something <b>lovely</b>. But to give a bit of contrast, we see two <i>mediocre</i> drawings from a later age on two patches of <i>ceiling</i> above. Note that the drop in <i>mediocre</i> has been lengthened somewhat and the second stroke drawn down straight.		一鹿比冂广


##### Add [eel] and [bucket_of_eels] primitive alternatives
亀	tortoise, turtle	[eel][bucket_of_eels]	勹日日	tortoise	tortoise	eel, bucket of eels	This is not a <i>turtle</i> (See frame 250) but a <b>tortoise</b>, however you wish to picture the difference. Let the "<i>bound up</i>" at the to prefer to the head, and the two <i>suns</i>, with a long tail running through it, to the shell.	When this kanji is abbreviated to its bottom half ([eel]), it takes the primitive meaning of an eel. When only the first two strokes are omitted ([bucket_of_eels), it will mean a bucket of eels. Examples of this latter will not appear until Vol. 3.	亀田勹乙
俺	I, myself		人大亀	myself	myself		The key word refers to a very familiar way of referring to oneself, typically used by men. Its component elements: <i>person</i> . . . <i>St. Bernard</i> . . . <i>eel</i>.		乙⺅大奄
電	electricity		雨亀	electricity	electricity		Rain/weather . . . eel.		雨田乙
竜	dragon, imperial		立亀	dragon	dragon		<i>Vase</i> . . . <i>eel</i>. In order not to confuse this kanji with the zodiacal <i>sign of the dragon</i>, which we will meet later (Frame 2164) and use as a primitive, you might think here of a paper parade <b>dragon</b>.		立竜田乙
縄	straw rope, cord		糸日亀	straw rope	straw rope		Thread . . . eels.		亀糸幺小田乙勹
电									


##### 茲 double mysterious
茲	here		玄玄			double mysterious	Note the doubling up of the element for <i>top hat</i> in the primitive for <i>mysterious</i> and assign it a special image.		幺⺾
滋	nourishing, more & more, be luxuriant, planting, turbidity		水茲	nourishing	nourishing		<i>Water</i> . . . double-<i>mysterious</i>. 		一氵并幺

##### 平 water lily
平	even, flat, peace	乎	平	even	even	water lily	This character is easiest remembered as a pictograph of a water lily floating on the surface of the water, which gives it its meaning of <b>even</b>. The fourth stroke represents the calm, smooth surface of a pond, and the final stroke the long stem of the plant reaching underwater.	As a primitive, this kanji can keep its pictographic meaning of a <i>water lily</i>.	干并
呼	call, call out to, invite		口平	call	call		<i>Mouth</i> . . . <i>water lily</i>. Note: this is the one time that the "stem" has a barb at the end. Work this fact into your story.	Editor's note: The first stroke of water lily is also here a bit curved and drawn from right to left. There is a separate kanji for this (乎) but it's not singled out as a separate kanji because it's so rare. 	ノ口并亅
# not water lily, even though this (instead of 平) is the character used in 呼
乎	question mark, ?								ノ一并亅

##### 兆 portent (separate the 丬 alternative primitive)
兆	portent, 10**12, trillion, sign, omen, symptoms		兆	portent	portent	turtle	Here we have a pictograph of the back of a turtle, the two sloping vertical strokes representing the central ridge and the four short strokes the pattern. Think of reading turtle shells as a way to foretell the future, and in particular things that <b>portend</b> coming evils. When this character is used as a primitive in its full form, we keep the key-word sense of a <i>portent</i>. 		儿冫
丬	half of tree trunk, rad. no. 90					turtle	When the portent (兆) appears to the left in its abbreviated form (namely, the left half only 丬), we shall give it the pictographic sense of a <i>turtle</i>.		｜冫


##### 行 going (keep separate the 彳 alternative primitive)
# Also add 'boulevard' primitive keyword
行	going, journey, carry out, conduct, act, line, row, bank		彳一丁	going	going	boulevard	By joining the top four strokes, you should get a picture of the front current of a river, the stream trailing behind. Hence the character for <b>going</b>.	As a primitive, this character has two forms. Reduced to the left side only, it can mean a <i>column</i>, <i>going</i>, or a <i>line</i> of something or other. When the middle is opened up to make room for other elements, it means a <i>boulevard</i>.	行彳
彳	stop, linger, loiter, going man radical (no. 60)					act, line, column	When the kanji for 'going' (行) is reduced to the left side only, it can mean a <i>column</i>, <i>going</i>, or a <i>line</i> of something or other. 		彳


# this is already listed as alternative for 开
廾	twenty, twenty or letter H radical (no. 55)								廾


# Add commentary
[hairpin]						hairpin	Here we have a quasi-pictograph of the colorful and decorated clips used to bind up long hair. Note its similarity to the scarf 𧘇, which differs only by the addition of one stroke. [4]	Editor's note: Notice also the similarity with rags [rags] which is missing the hook in its second stroke	

# scarf instead of rags
表	surface, table, chart, diagram		龶𧘇	surface	surface		<i>Grow up</i> . . . <i>scarf</i>. This character represents the "outside" of a garment, just as the kanji for <i>back</i> (Frame 426) depicted the "inside" or lining.	Editor's note: The primitive used here is in fact 'scarf' (𧘇) and not 'rags' ([rags]). 	衣士

# [rags] - fix link
旅	trip, travel		[banner][rags]	trip	trip		Let the last 4 strokes, which are also the concluding strokes to the character for <i>garment</i>, represent a <i>rag</i> as its primitive meaning. We shall meet this only on one other occasion. This gives us as our elements: <i>banner</i> . . . <i>rag</i>.		['ノ方一']

##### The new 𠂢 bifurcate primitive
𠂢	to branch		[rags]⺁			bifurcate	This is a non-Heisig primitive and even though he did not assign it a keyword, he did note these common building blocks. It will come handy with the two kanjis that refer to it because of its meaning. To avoid collision with two other branch related kanjis (branch 支 and branch off 岐) we name this <b>bifurcate</b>		ノ斤
派	faction, group, party, clique, sect, school		水[rags]⺁𠂢	faction	faction		<i>Water</i> . . . <i>drag</i> . . . <i>rag</i>. Back in frame 1127 we indicated that this latter radical would come up once again, as it does in this and the following two frames.	Editor's note: You can use the non-Heisig <i>bifurcate</i> primitive instead of <i>rags</i> and <i>drag</i>	斤氵厂
脈	vein, pulse, hope		肉⺁[rags]𠂢	vein	vein		Part of body . . . <i>drag</i> . . . <i>rag</i>.	Editor's note: You can use the <i>bifurcate</i> primitive instead of <i>rags</i> and <i>drag</i>	斤月厂

# fix [drag-bottom] link 
⺁	drag	[drag-bottom]	⺁		drag		Although not a pictograph in the strict sense, this primitive depicts one stroke pulling another along behind it. Note how it differs from cliff and person because of this <i>drag</i>ging effect,not to mention the fact that the first stroke is written right to left, almost as if it were a long drop. When this element comes under a different element, the strokes are drawn apart like this: [drag-bottom] [2]		
乑	stand side by side, assemble		⺁[rags]				Note here the abbreviated form of </i>drag</i>: [drag-bottom]		｜丶ノ

# add comment/reference to [drag-bottom]
冫	two-stroke water radical or ice radical (no. 15)	⺀				ice	The condensation of the three drops we have been using to mean <i>water</i> into two drops signals the solidifying of <i>water</i> into <b>ice</b>. Note that when this primitive appears to the left, it is written like the last two strokes of the element for <i>water</i>, 冫, whereas under another primitive, it is written like the first two strokes of the water primitive: ⺀. [2]	Editor's note: Please see the distiction in the stroke direction between ⺀ and special form of the 'drag' ⺁ primitive: [drag-bottom]	冫

### add primitives
裟	Buddhist surplice		水小衣	monk’s sash	monk’s sash				ノ衣氵小
裡	reverse, inside, palm, sole, rear, lining, wrong side		衣里	back (old)	back (old)				衤里

# 乂 sheaf primitive
乂	mow, cut grass, subdue					sheaf	These two strokes are a crude drawing of a bundle of stalks bound together into a sheaf. [2]		ノ


##### these do not have Heisig primitive keyword attached
巷	fork in road, scene, arena, theater								ハ已井
襄	rise, raise								｜衣一ハ亠
齊	alike, equal, similar, Saito								齊亠刀氏廾
已	stop, halt, previously, already, long ago			stop short	stop short		This character can be kept distinct from the familiar sign of the snake 巳 (1.2042) by noting that the final stroke stops short. [3]	Editor's note: Also keep distinct from kanji 己 self.	已
愈	be superior, heal, more and more, increasingly, finally, beyond doubt		亼刖心	in the nick of time	in the nick of time		Meeting of butchers . . . heart. [13]		刂月心𠆢
卯	sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east		[receipt]卩	sign of the hare	sign of the hare				卩
戔	damage, remain, slight		戈戈						戈
卌	40								一｜

# not 'steal'
兪	affirmative response, relaxed, at ease								月入𠆢

# not 'shelf' nor 'fishhook'
L									
# not 'hook'
亅	feathered stick, barb radical (no. 6)								亅
# not 'parade'
戉	warrior, arms, savage, Ainu								戈

# this is already part of 厂
丆						 			

# 龴 is a duplicate of マ
龴									
# fix primitive from 龴 to マ
痛	pain, hurt, damage, bruise		疒マ用	pain	pain		Sickness . . . chop-seal . . . utilize.		用疒マ

# a duplicate of 丁
丅	under, underneath, below, down, inferior, bring down								一｜
# fix primitive from 丅 to 丁
敢	daring, brave, bold, sad, tragic, pitiful		丁耳攵	daring	daring		Spike . . . ear . . . taskmaster.		耳攵

# 卆 'game of cricket' primitive
卆	soldier, private, die					game of cricket	Here we have a <i>baseball</i> and <i>needle</i>. Since they will be coming together from time to time, let us give the two of them the sense of a <i>game of cricket</i> in which a <i>needle</i> is laid across the wicket.		九十
砕	smash, break, crush, familiar, popular		石卆	smash	smash		We begin with the two elements on the right, <i>baseball</i> and <i>needle</i>. Since they will be coming together from time to time, let us give the two of them the sense of a <i>game of cricket</i> in which a <i>needle</i> is laid across the wicket. Then imagine using a <i>rock</i> for a ball. A <b>smash</b> hit would probably splinter the bat in all directions, and a <b>smashing</b> pitch would do the same with the <i>needle</i> wicket.		ノ口十石九

# 冘 'crown tied around leg of person' primitive
沈	sink, be submerged, subside, be depressed, aloes		水冘	sink	sink		The technique for <b>sinking</b> used in this kanji is unique. Rather than the biblical image of tying a millstone about the victim's neck, here we see a <i>crown tied about one leg</i> before the unfortunate party is tossed into the <i>water</i>.		氵
冘	to move on, doubtful		冖人儿			crown tied around leg of person.			ノ乙冖尢

# this isn't schoolhouse (note the difference in the stroke angle of the second stroke
龸						classroom, schoolhouse			
# fix primitive from 龸 to [schoolhouse]
労	labor, thank for, reward for, toil, trouble		[schoolhouse]力	labor	labor		Schoolhouse . . . power.		⺌力冖


# ⺷ isn't grow up (龶)
⺷									
# fix primitive form ⺷ to 龶
憲	constitution, law		宀龶罒心	constitution	constitution		The key word refers to the fundamental guiding principles of a government or other organization. Its elements: <i>House</i> . . . <i>grow up</i> . . . <i>eyes</i> . . . <i>heart</i>.		心土罒亠宀

# 朿 thorn / 'belted tree' primitive
朿	thorn					belted tree			｜一ハ木冂
刺	thorn, pierce, stab, prick, sting, calling card		朿刀	thorn	thorn		<b>Thorns</b> grow on a bush here that has wrapped itself around a <i>tree</i> like a <i>belt</i>, cutting into the poor <i>tree</i> like little <i>sabers</i>. [8]	Editor's note: Here we use the 朿 primitive which in fact means 'thorn' itself. So 刺 here is the full kanji. 	｜刂巾ハ木亅冂
棗	jujube		朿朿						｜一巾ハ木亠冂
棘	thorn, splinter, spine, biting words, briers		朿朿	thornbush	thornbush				｜巾ハ木亠冂
蕀	milwort		⺾朿朿						｜ハ木冂⺾
莿	thorn		⺾朿刀						冂刂⺾木



# 兑 'devil' primitive. Removed reference to 兌. Added comments
兑						devil	The two horns on the head of the teenager are enough to suggest to most parents of adolescents a good image of a devil. [7]		
脱	undress, removing, escape from, get rid of, be left out, take off		肉兑	undress	undress		To <b>undress</b> is to expose the <i>flesh</i> and tempt the <i>devil</i> in the eyes of one’s onlookers. Ignore the moral if you want, but not the devil. [11]		月口并儿

# Add comment
丗	thirty					buckle	Pictograph of a buckle.		｜山十

# fix primitives
亜	Asia, rank next, come after, -ous		｜一口	Asia	Asia	sub	In this kanji, the abbreviation for <b>Asia</b>, you should be able to see the character for <i>mouth</i> behind the Roman numeral II.		｜一口

# [rags]
[rags]						rags	-	Editor's note. This is a sub-primitive for 衣 garment and its last 4 concluding strokes. The difference with scarf 𧘇 is the missing hook in its second stroke. Note also the similarity with the hairpin [hairpin] primitive.	

# 辛 spicy: Add 'red pepper' primitive alternative
辛	spicy, bitter, hot, acrid		立十	spicy	spicy	red pepper	This character pictures food whose taste is so hot and <b>spicy</b> that it makes the hairs on your body <i>stand up</i> as straight as <i>needles</i>.	As a primitive, we shall use this meaning of <i>spicy</i>, except when the two extra strokes are added to the bottom, giving it the form of a tree. Then we take its alternate meaning of a <i>red pepper</i> plant. The connection is obvious.	十辛立
親	parent, intimacy, relative, familiarity, dealer (cards)		立木辛見	parent	parent		Red pepper . . . see.		見十辛并木立亠
新	new		立木辛斤	new	new		Red pepper . . . ax.		斤十辛并木立亠

# Added '-' to empty Heisig stories. Otherwise Kanji GOD will not show Heisig comments.
侖	think, be methodical		亼冊				-	Editors' note: Non-Heisig keyword	𠆢冂廾冊
尃	to state to, to announce		十田寸			acupuncturist	-	Editor's note: This kanji in fact is the 'acupuncturist' (a doctor without his needle) referred to in 博 (Dr.) by Heisig.	一｜丶十寸日
业						spikes	-	Editor's notes: This element was not introduced in RTK by Heisig but it's referenced in Kanji GOD by few kanjis. You can use this this primitive as it is or alternatively you can use the row 並 primitive as described by Heisig, of which this primitive is part of.  You can decide case by case for each kanji this element is introduced in	
罒	net radical variant (no. 122)	网				eye	-	Editor's note: This net radical 罒 (referred by Heisig as eye turned on its side) has a different meaning from the normal eye kanji (目). We'll keep these as separate primitives, but for each kanji you can use either Heisig's mnemonics (which doesn't differentiate the two) or substitute a different keyword to your own story using this 罒 primitive. Suggestions: Spider's net, internet or fishing net.	罒

# Add comparison between mending, critters and correct
疋	head, counter for animals			critters	critters	zoo	Rather than use this for animals in general, we will refer to it as a <b>zoo</b>, to avoid confusion with the other animals that will be showing up. Except for the downward hook at the end of the first stroke, this element is indistinguishable from <i>mending</i> ([mending]). Perhaps by now you have developed a quick eye for such details. If not now, you will before long. [5]	Editors' note: Please also compare to 正 (kanji for 'correct')	疋
正	correct, justice, righteous, 10**40		一止	correct	correct		"A journey of a thousand miles begins with a single step," says the Chinese proverb. Here we see <i>one footprint</i>, complementing that proverb with the sound advice that if the first step is not made <b>correctly</b>, the whole point of the journey will be forfeited. This is the ideal that teachers are supposed to have in <b>correcting</b> their students, and parents in <b>correcting</b> their children.	Editor's note: Please compare also to 正 (kanji for 'correct') and mending ([mending])	一止
[mending]						mending	This primitive differs from the kanji for <i>correct</i> (正) only by the movement added to the last two strokes, the “-ing” of <b>mending</b> if you will. But take a more concrete sense, like <b>mending</b> holes in socks. [5]	Editor's note: Please also compare to primitive 'critters' (疋)	
